split,train_n,test_n,train_pos_rate,test_pos_rate,test_months
month_aware,35617,5571,0.10006457590476459,0.19314306228684258,"sep,oct,nov,dec"
random,32950,8238,0.11265553869499241,0.11264870114105366,
