rank,model,shap_selection_score,precision_at_k_mean,precision_at_k_std,lift_at_k_mean,lift_at_k_std,pr_auc,roc_auc,brier,precision_at_k_mean_random,score_precision_mean,score_lift_mean,score_pr_auc,score_brier,score_precision_random
1,CatBoost,0.8946949746689394,0.6557482918512587,0.11056589030874496,3.3951428753748716,0.5724559246375637,0.5617044138043946,0.7971154442565263,0.1160520672514542,0.546987650433015,0.8967768595041347,0.8967768595041299,0.9239869406319164,1.0,0.43662941680152506
2,RandomForest,0.8500000000000001,0.6584369847030813,0.10861347786642814,3.4090636076030356,0.5623472910723706,0.5640024765553299,0.7938124144547225,0.1972561346994567,0.5757570501485875,1.0,1.0,1.0,0.0,1.0
3,XGBoost,0.40122845787885086,0.6356767368869716,0.08925112032975056,3.2912222130086604,0.46209850497866173,0.5557299651988252,0.8010205474070736,0.1165495751707977,0.5565094945843656,0.1261983471074382,0.1261983471074395,0.7263700059499155,0.9938733620743558,0.6230888822650238
4,GradientBoosting,0.310781855596025,0.6323895999896672,0.09833972268614558,3.274203031173267,0.5091548281454616,0.5529630344092463,0.8000330809532277,0.1174070126893413,0.561780203283922,0.0,0.0,0.6348481907644756,0.983314315643675,0.7263014019315733
5,KNN,0.29723182374399326,0.6389832478720794,0.10790319193990527,3.308341704363712,0.5586697790866283,0.5337700037402683,0.7914265540811559,0.1185707325471922,0.5246904865516078,0.25314049586777,0.25314049586777193,0.0,0.9689835081555392,0.0
