setting,model,use_macro,use_contact_history,n_features_after_ablation,train_n,test_n,train_pos_rate,test_pos_rate,roc_auc,pr_auc,brier,precision_at_5,lift_at_5,precision_at_10,lift_at_10,precision_at_20,lift_at_20
full_model,CatBoost,True,True,19,35617,5571,0.10006457590476459,0.19314306228684258,0.7971154442565263,0.5617044138043946,0.11605206725145426,0.7553956834532374,3.9110681714851165,0.6750448833034112,3.495051156954743,0.5368043087971275,2.7793092976847555
no_macro,CatBoost,False,True,14,35617,5571,0.10006457590476459,0.19314306228684258,0.7100806968502797,0.4817734830561079,0.12994965375015458,0.7266187050359713,3.762075098285684,0.6535008976660682,3.383506971094485,0.48473967684021546,2.5097441818557997
no_contact_history,CatBoost,True,False,12,35617,5571,0.10006457590476459,0.19314306228684258,0.7719626516038061,0.4240152627320768,0.12709890258615295,0.4676258992805755,2.4211374394907863,0.4703770197486535,2.435381391282294,0.4533213644524237,2.347075577476257
core_only,CatBoost,False,False,7,35617,5571,0.10006457590476459,0.19314306228684258,0.6516318213959336,0.317913362882605,0.15202588468660205,0.42805755395683454,2.216271963841566,0.44165170556552963,2.286655810135284,0.35816876122082586,1.8544220899267851
