split,model,k_frac,k,base_rate,conversion_rate_contacted,precision_at_k,lift_at_k
month_aware,LogReg,0.05,278,0.19314306228684258,0.7410071942446043,0.7410071942446043,3.8365716348854
month_aware,LogReg,0.1,557,0.19314306228684258,0.6786355475763016,0.6786355475763016,3.513641854598119
month_aware,LogReg,0.2,1114,0.19314306228684258,0.5448833034111311,0.5448833034111311,2.8211383673823525
month_aware,NaiveBayes,0.05,278,0.19314306228684258,0.5935251798561151,0.5935251798561151,3.072982134738306
month_aware,NaiveBayes,0.1,557,0.19314306228684258,0.6175942549371634,0.6175942549371634,3.197599994660722
month_aware,NaiveBayes,0.2,1114,0.19314306228684258,0.49371633752244165,0.49371633752244165,2.55622092596424
month_aware,KNN,0.05,278,0.19314306228684258,0.7338129496402878,0.7338129496402878,3.7993233665855417
month_aware,KNN,0.1,557,0.19314306228684258,0.6624775583482945,0.6624775583482945,3.429983715202926
month_aware,KNN,0.2,1114,0.19314306228684258,0.5296229802513465,0.5296229802513465,2.742127902398003
month_aware,DecisionTree,0.05,278,0.19314306228684258,0.7014388489208633,0.7014388489208633,3.6317061592361797
month_aware,DecisionTree,0.1,557,0.19314306228684258,0.6840215439856373,0.6840215439856373,3.5415279010631835
month_aware,DecisionTree,0.2,1114,0.19314306228684258,0.4964093357271095,0.4964093357271095,2.5701639491967723
month_aware,RandomForest,0.05,278,0.19314306228684258,0.7517985611510791,0.7517985611510791,3.8924440373351876
month_aware,RandomForest,0.1,557,0.19314306228684258,0.6696588868940754,0.6696588868940754,3.4671651104896783
month_aware,RandomForest,0.2,1114,0.19314306228684258,0.5421903052064632,0.5421903052064632,2.80719534414982
month_aware,ExtraTrees,0.05,278,0.19314306228684258,0.7553956834532374,0.7553956834532374,3.9110681714851165
month_aware,ExtraTrees,0.1,557,0.19314306228684258,0.6768402154398564,0.6768402154398564,3.504346505776431
month_aware,ExtraTrees,0.2,1114,0.19314306228684258,0.5278276481149012,0.5278276481149012,2.7328325535763147
month_aware,XGBoost,0.05,278,0.19314306228684258,0.7122302158273381,0.7122302158273381,3.6875785616859673
month_aware,XGBoost,0.1,557,0.19314306228684258,0.6624775583482945,0.6624775583482945,3.429983715202926
month_aware,XGBoost,0.2,1114,0.19314306228684258,0.5305206463195691,0.5305206463195691,2.746775576808847
month_aware,LightGBM,0.05,278,0.19314306228684258,0.7050359712230215,0.7050359712230215,3.6503302933861086
month_aware,LightGBM,0.1,557,0.19314306228684258,0.6427289048473968,0.6427289048473968,3.3277348781643563
month_aware,LightGBM,0.2,1114,0.19314306228684258,0.4838420107719928,0.4838420107719928,2.5050965074449554
month_aware,CatBoost,0.05,278,0.19314306228684258,0.7158273381294964,0.7158273381294964,3.7062026958358962
month_aware,CatBoost,0.1,557,0.19314306228684258,0.6624775583482945,0.6624775583482945,3.429983715202926
month_aware,CatBoost,0.2,1114,0.19314306228684258,0.5278276481149012,0.5278276481149012,2.7328325535763147
month_aware,AdaBoost,0.05,278,0.19314306228684258,0.7014388489208633,0.7014388489208633,3.6317061592361797
month_aware,AdaBoost,0.1,557,0.19314306228684258,0.6732495511669659,0.6732495511669659,3.485755808133055
month_aware,AdaBoost,0.2,1114,0.19314306228684258,0.5224416517055656,0.5224416517055656,2.7049465071112504
month_aware,GradientBoosting,0.05,278,0.19314306228684258,0.7338129496402878,0.7338129496402878,3.7993233665855417
month_aware,GradientBoosting,0.1,557,0.19314306228684258,0.6732495511669659,0.6732495511669659,3.485755808133055
month_aware,GradientBoosting,0.2,1114,0.19314306228684258,0.5287253141831239,0.5287253141831239,2.7374802279871586
month_aware,MLP,0.05,278,0.19314306228684258,0.5755395683453237,0.5755395683453237,2.97986146398866
month_aware,MLP,0.1,557,0.19314306228684258,0.5026929982046678,0.5026929982046678,2.602697670072681
month_aware,MLP,0.2,1114,0.19314306228684258,0.3868940754039497,0.3868940754039497,2.0031476710737954
random,LogReg,0.05,411,0.11264870114105366,0.6082725060827251,0.6082725060827251,5.399729423609363
random,LogReg,0.1,823,0.11264870114105366,0.5103280680437424,0.5103280680437424,4.530261448862446
