iter	Logloss
0	0.6112007069
1	0.5442221931
2	0.4920882243
3	0.4498117231
4	0.4150579328
5	0.3887157761
6	0.3675598271
7	0.3517296625
8	0.3365895266
9	0.3238396797
10	0.3134922241
11	0.3049635268
12	0.2986630128
13	0.2936351362
14	0.2891059095
15	0.2846889974
16	0.2809838644
17	0.2781592536
18	0.2756725038
19	0.2738855544
20	0.2722525005
21	0.2707657688
22	0.2694286467
23	0.2680224807
24	0.2671955563
25	0.2661355294
26	0.2652149066
27	0.264540535
28	0.2639407701
29	0.2633710013
30	0.2629773518
31	0.2626239062
32	0.2622122572
33	0.2618220448
34	0.2614916989
35	0.2612035183
36	0.260921362
37	0.2607002578
38	0.2604526809
39	0.2602901441
40	0.260144943
41	0.2599948959
42	0.2597338489
43	0.2594880536
44	0.2592445908
45	0.2589822107
46	0.2588615696
47	0.2587366036
48	0.2586098829
49	0.2584985223
50	0.2583266586
51	0.2581590983
52	0.2579767519
53	0.2578921453
54	0.2578242964
55	0.2575947587
56	0.2574593811
57	0.2572974196
58	0.2571731013
59	0.2570872338
60	0.2569828372
61	0.256816213
62	0.2567222027
63	0.2566437399
64	0.2565784679
65	0.2565040884
66	0.2564068152
67	0.2563205564
68	0.2562472887
69	0.2561865176
70	0.256079563
71	0.2559893594
72	0.2559182574
73	0.2558211951
74	0.2557211706
75	0.2556865384
76	0.2556270985
77	0.2555602399
78	0.2555004157
79	0.2554162699
80	0.255335097
81	0.2552484094
82	0.2551745836
83	0.255094648
84	0.25503915
85	0.254945984
86	0.2548743396
87	0.2547774757
88	0.2546945321
89	0.2545764068
90	0.2544927548
91	0.2543719538
92	0.254301764
93	0.2542381175
94	0.254155386
95	0.2540824294
96	0.2540317982
97	0.2539070586
98	0.2538556143
99	0.2537747413
100	0.2537315907
101	0.2536884329
102	0.2536034259
103	0.253429325
104	0.2533673317
105	0.2533002533
106	0.2532617868
107	0.2531820253
108	0.2531442632
109	0.2530683393
110	0.2530230827
111	0.2529802191
112	0.2529158162
113	0.25285419
114	0.2528101689
115	0.2527675467
116	0.252712083
117	0.2526395338
118	0.2525671085
119	0.2524888714
120	0.252391249
121	0.2523166538
122	0.252239836
123	0.2521851773
124	0.2521312783
125	0.2520246893
126	0.2519844437
127	0.2519083167
128	0.2518872681
129	0.2518254674
130	0.2517655839
131	0.2517059534
132	0.2516523813
133	0.2516241334
134	0.25157886
135	0.251461012
136	0.2514334509
137	0.2513912429
138	0.251339771
139	0.25129322
140	0.2511981934
141	0.2511421316
142	0.2510652427
143	0.2510307957
144	0.2509900667
145	0.2509213272
146	0.2508640795
147	0.2507705459
148	0.2506906619
149	0.2506491159
150	0.2505824537
151	0.2505183848
152	0.2504281394
153	0.2503893304
154	0.2503445288
155	0.2502985579
156	0.2502226979
157	0.2501464193
158	0.250087221
159	0.2500515576
160	0.2500070663
161	0.2499429972
162	0.2498832288
163	0.2498790361
164	0.2498235585
165	0.2497740094
166	0.2497049886
167	0.2496646899
168	0.2495974362
169	0.2495123094
170	0.2494655893
171	0.2494620672
172	0.2494292228
173	0.2493644047
174	0.2493349219
175	0.2492607941
176	0.2492041883
177	0.2491556037
178	0.2491015629
179	0.2490571305
180	0.2490020815
181	0.2489480201
182	0.2488483819
183	0.2488282561
184	0.2487658683
185	0.2487147074
186	0.2486871303
187	0.2486864524
188	0.2485888824
189	0.2485498069
190	0.2484709553
191	0.2484617669
192	0.2483845091
193	0.2483427427
194	0.2482580892
195	0.2481962522
196	0.248171432
197	0.2481214311
198	0.2480373654
199	0.2479753866
